slug,provider,actionButtons,technology,monitoringAndAnalytics,additionalFeatures,starred,availableApis,sdk,searchCapabilities,smartContractsVerifications,fullHistory,pricing
arbiscan,Arbiscan,,Etherscan,"[""Transactions"",""Address Activity"",""Token transfers"",""Blocks""]","[""VMTrace"",""Verified Contracts"",""API Access""]",FALSE,"[""REST API""]",,"[""Search"",""Filter"",""Label Cloud""]",TRUE,TRUE,Free
arkham,Arkham,"[""[Explore](https://intel.arkm.com/)"",""[Docs](https://codex.arkm.com/)""]",Custom,"[""Accounts"",""Transactions"",""Tokens"",""Contracts""]","[""Entity Labeling"",""Relationship Graphs"",""De-anonymization"",""Portfolio Tracking""]",FALSE,"[""REST API""]","[""Python"",""TypeScript""]","[""Address"",""Entity"",""Transaction Hash"",""Token""]",FALSE,TRUE,Partially paid
blockchair,Blockchair,,Custom,"[""Accounts"",""Transactions"",""Tokens"",""Contracts""]","[""Multi-Chain Search"",""PDF Reports""]",FALSE,"[""REST API""]","[""Python"",""Node.js""]","[""Address"",""Transaction Hash"",""Block""]",FALSE,TRUE,Free
blockscout,Blockscout,,Blockscout,"[""Accounts"",""Transactions"",""Blocks"",""Tokens"",""Gas"",""Contracts"",""Logs"",""Events""]","[""Token Tracker"", ""Network Metrics"",""NFT Tracking""]",FALSE,"[""REST API"", ""GraphQL"", ""RPC API"", ""Eth RPC API"",""JSON-RPC""]","[""TypeScript"",""Node.js""]","[""Address"",""Transaction Hash"",""Block"",""Token"",""Message ID"",""Height""]",TRUE,TRUE,Free
etherchain,Etherchain,,Custom,"[""Accounts"",""Transactions"",""Tokens"",""Contracts""]","[""Gas Tracker"",""Stats"",""Charts""]",FALSE,"[""REST API""]",,"[""Address"",""Transaction Hash"",""Block""]",FALSE,TRUE,Free
etherscan,Etherscan,,Custom,"[""Accounts"",""Transactions"",""Tokens"",""Contracts""]","[""Token Tracker"",""Network Metrics""]",FALSE,"[""REST API""]",,"[""Address"",""Transaction Hash"",""Block""]",TRUE,TRUE,Free
ethplorer,Ethplorer,,Custom,"[""Accounts"",""Transactions"",""Tokens"",""Contracts""]","[""Token Pulse"",""Portfolio Charts""]",FALSE,"[""REST API""]",,"[""Address"",""Transaction Hash"",""Block""]",FALSE,TRUE,Free
ethvm,EthVM,,Custom,"[""Accounts"",""Transactions"",""Tokens"",""Contracts""]","[""Portfolio Charts"",""Internal TX Tracking""]",FALSE,"[""REST API""]",,"[""Address"",""Transaction Hash"",""Block""]",FALSE,TRUE,Free
oklink,OKLink,,Custom,"[""Transactions"",""Blocks"",""Tokens"",""Gas"",""Contracts"",""Accounts"",""Token transfers"",""Address Activity""]","[""Token Tracker"",""Smart Contract Verification"",""Address Labels"",""Address Monitoring"",""APIs"",""Network Overview"",""Price Charts"",""Amoy Contract Verification""]",FALSE,"[""REST API"", ""GraphQL"", ""RPC API""]","[""TypeScript""]","[""Address"",""Transaction Hash"",""Block"",""Token""]",TRUE,TRUE,Free
okx,OKX,,Custom,"[""Transactions"",""Blocks"",""Tokens"",""Gas"",""Contracts""]","[""Token Tracker"",""Smart Contract Verification"",""Label System""]",FALSE,"[""REST API""]",,"[""Address"",""Transaction Hash"",""Block"",""Token""]",TRUE,TRUE,Free
polkadot-js,Polkadot.JS,,Polkadot.JS,"[""Recent blocks"",""Recent events"",""Governance: Democracy"",""Governance: Treasury"",""Governance: Council""]","[""Developer RPC playground"", ""Developer Javascript playground"", ""Developer extrinsic playground"", ""Address Conversion"", ""Hash data"", ""Encode XCM""]",FALSE,"[""REST API""]",,"[""Contracts"",""Chain State"",""Extrinsics"",""RPC Calls"",""Runtime Calls"",""Transactions"",""Blocks""]",FALSE,FALSE,Free
subscan,Subscan,,Subscan,"[""Daily Transfer Amount"",""Daily Signed Extrinsic Number"",""Daily Unsigned Extrinsic Number"",""Daily EVM Transaction Number"",""Daily Active Account & Newly Created Account"",""Daily Total Account & Holder"",""Daily Fees Used"",""Daily Average Block Time"",""Average Ref Size"",""Daily XCM Transfer"",""Daily XCM Message"",""XCM Message Flow"",""XCM Transfer Flow"",""Daily Native Token Circulating Supply"",""Daily Vesting Schedule""]","[""SLA""]",FALSE,"[""JSON-RPC"", ""REST API""]",,"[""Blocks"",""Extrinsics"",""Transfers"",""Events"",""Assets"",""Accounts"",""Logs"",""Collators"",""EVM Accounts"",""ERC20 Tokens"", ""NFT"", ""XCM"", ""Contracts"", ""Government"", ""Democracy proposals""]",TRUE,TRUE,"Free, paid versions of API for $19-$399 for 5/10/30 RPS. Yearly discounts apply"
tenderly-explorer,Tenderly,"[""[Explore](https://docs.tenderly.co/developer-explorer)""]",Custom,"[""Accounts"",""Transactions"",""Blocks"",""Contracts"",""Gas""]","[""Virtual TestNet Creation"",""Smart Contract Debugging"",""Gas Optimization"",""Transaction Trace""]",FALSE,"[""REST API""]",,"[""Address"",""Transaction"",""Block"",""Token"",""Contract""]",TRUE,TRUE,"Free/$50/$500/mo, $45/$450/yearly"
tokenview,TokenView,,Custom,"[""Accounts"",""Transactions"",""Tokens"",""Contracts""]","[""Token/NFT Explorer"",""RPC Service""]",FALSE,"[""REST API""]",,"[""Address"",""Transaction Hash"",""Block""]",FALSE,TRUE,Free
dex-guru,Dex.Guru,,Custom,"[""Accounts"",""Transactions"",""Tokens"",""Contracts""]",,FALSE,,,"[""Address"",""Transaction Hash"",""Block""]",TRUE,FALSE,Free
